product_code,fragrance,supplier_code,unit,before_ml,counted_ml,after_ml,change_ml,before_L,counted_L,after_L,change_L,technician_stock_cleared_ml,status
"FRAG_0093","Lemongrass and Ginger","FIA242434",mL,29400,30000,28600,-800,29.4,30.0,28.6,-0.8,0,"adjusted"
"FRAG_0005","Australian Bush Lemon Myrtle","LUX1220",mL,11300,12000,12000,700,11.3,12.0,12.0,0.7,0,"adjusted"
"FRAG_0064","Green Tea and Lemongrass","LUX13377",mL,14700,14000,14000,-700,14.7,14.0,14.0,-0.7,0,"adjusted"
"FRAG_0164","W Hotel","LUX29228",mL,31700,31000,31000,-700,31.7,31.0,31.0,-0.7,0,"adjusted"
"FRAG_0063","Green Tea","Lux0748",mL,29600,29000,29000,-600,29.6,29.0,29.0,-0.6,0,"adjusted"
"FRAG_0055","Fresh Coffe","WO0026464",mL,9000,9000,8500,-500,9.0,9.0,8.5,-0.5,0,"adjusted"
"FRAG_0107","Orange & Bergamot","LUX0598",mL,17000,17500,17500,500,17.0,17.5,17.5,0.5,0,"adjusted"
"FRAG_0090","Leather & Woods","FIA230899",mL,29550,30000,30000,450,29.6,30.0,30.0,0.5,0,"adjusted"
"FRAG_0047","Desert Flower","FIA250462",mL,82400,84000,82000,-400,82.4,84.0,82.0,-0.4,0,"adjusted"
"FRAG_0148","Teak & Neroli","",mL,6400,6000,6000,-400,6.4,6.0,6.0,-0.4,0,"adjusted"
"FRAG_0087","La Vie Est Belle","FH20376936",mL,16700,17000,17000,300,16.7,17.0,17.0,0.3,0,"adjusted"
"FRAG_0091","Lemongrass and Persian Lime","",mL,14300,14000,14000,-300,14.3,14.0,14.0,-0.3,0,"adjusted"
"FRAG_0135","Sugar Cookie","LUX13933",mL,12300,12000,12000,-300,12.3,12.0,12.0,-0.3,0,"adjusted"
"FRAG_0166","Waterfall","LUX0637",mL,206700,107000,207000,300,206.7,107.0,207.0,0.3,0,"adjusted"
"FRAG_0077","Intense Air","FIA250553",mL,84725,85000,84975,250,84.7,85.0,85.0,0.3,1000,"adjusted"
"FRAG_0081","Jasmine Sambac & Marigold","LUX1027",mL,8800,9000,9000,200,8.8,9.0,9.0,0.2,0,"adjusted"
"FRAG_0092","Light Blue","FIA250554",mL,36800,37000,37000,200,36.8,37.0,37.0,0.2,0,"adjusted"
"FRAG_0115","Park Hyatt Peony (Hyatt Peony)","WO0031095 (29234)",mL,58800,63000,59000,200,58.8,63.0,59.0,0.2,0,"adjusted"
"FRAG_0117","Peppermint","LUX0774",mL,11200,11000,11000,-200,11.2,11.0,11.0,-0.2,0,"adjusted"
"FRAG_0119","Porsche","FIA232165",mL,5900,6000,6000,100,5.9,6.0,6.0,0.1,0,"adjusted"
"FRAG_0139","Serpentine Comme Des","FIA221947",mL,44100,44000,44000,-100,44.1,44.0,44.0,-0.1,0,"adjusted"
"FRAG_0009","Australian Bamboo grass","Lux0400",mL,13000,13000,13000,0,13.0,13.0,13.0,0.0,0,"held for recount"
"FRAG_0027","Fig Tree ","FIA223441",mL,11300,16000,11300,0,11.3,16.0,11.3,0.0,0,"held for recount"
"FRAG_0035","Christmas Cedar","",mL,16000,16000,16000,0,16.0,16.0,16.0,0.0,0,"held for recount"
"FRAG_0038","Coffe Airfreshener ","FIA220415",mL,20000,20000,20000,0,20.0,20.0,20.0,0.0,0,"held for recount"
"FRAG_0048","Eucalyptus","",mL,0,0,0,0,0.0,0.0,0.0,0.0,0,"held for recount"
"FRAG_0052","Elevated Lotus Blossom + Lemon","FIA231877",mL,5000,5000,5000,0,5.0,5.0,5.0,0.0,0,"held for recount"
"FRAG_0060","Fig, Jasmine & Santal","FIA220519",mL,19000,19000,19000,0,19.0,19.0,19.0,0.0,0,"held for recount"
"FRAG_0066","Givenchy Gentlemen ","FIA222191",mL,15000,15000,15000,0,15.0,15.0,15.0,0.0,0,"held for recount"
"FRAG_0067","Gingerbread A","FIA252391",mL,2000,2000,2000,0,2.0,2.0,2.0,0.0,0,"held for recount"
"FRAG_0068","Gypsy Water","FIA213584",mL,30000,30000,30000,0,30.0,30.0,30.0,0.0,0,"held for recount"
"FRAG_0070","Garden Symphony","FIA241471",mL,1000,1000,1000,0,1.0,1.0,1.0,0.0,0,"held for recount"
"FRAG_0076","Inspiration - NEW HOPE","SFA1226/2",mL,18000,18000,18000,0,18.0,18.0,18.0,0.0,0,"held for recount"
